INFO  2018-11-02 11:53:00,399 171674ms Repository             ItemsQueryBySearch - search.TotalRecords : 2
INFO  2018-11-02 11:53:42,171 213446ms ProjectServices        SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.ProjectModel Entity: DPO.Data.Project Description: Project 'AD Test Nov 2nd 2018'
DEBUG 2018-11-02 11:53:42,221 213496ms ProjectServices        SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 11:53:42,269 213544ms ProjectServices        SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-02 11:53:42,309 213584ms ProjectServices        SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-02 11:53:42,351 213626ms ProjectServices        SaveToDatabase     - Project 'AD Test Nov 2nd 2018' has been updated.
DEBUG 2018-11-02 11:53:42,386 213661ms ProjectServices        SaveToDatabase     - try to save to database
DEBUG 2018-11-02 11:53:42,598 213873ms ProjectServices        SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 11:53:42,632 213907ms ProjectServices        SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.ProjectModel
INFO  2018-11-02 11:54:59,869 291144ms QuoteServices          GetEntity          - Enter GetEntity for quote: AD Test Nov 2nd 2018
DEBUG 2018-11-02 11:55:05,760 297035ms QuoteServices          alculateUnitCounts - Total Split-Outdoor QuoteItems: 2
DEBUG 2018-11-02 11:55:05,807 297082ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
DEBUG 2018-11-02 11:55:05,836 297111ms QuoteServices          alculateUnitCounts - DPO.Data.QuoteItem
INFO  2018-11-02 11:55:08,397 299672ms QuoteServices          SaveToDatabase     - Enter SaveToDatabase for Model: DPO.Common.QuoteModel Entity: DPO.Data.Quote Description: Quote 'AD Test Nov 2nd 2018'
DEBUG 2018-11-02 11:55:08,428 299703ms QuoteServices          SaveToDatabase     - Get the Entry
DEBUG 2018-11-02 11:55:09,560 300835ms QuoteServices          SaveToDatabase     - NewRecordAdded: False
DEBUG 2018-11-02 11:55:09,585 300860ms QuoteServices          SaveToDatabase     - Entry.State = 'modified'
INFO  2018-11-02 11:55:09,609 300884ms QuoteServices          SaveToDatabase     - Quote 'AD Test Nov 2nd 2018' has been updated.
DEBUG 2018-11-02 11:55:09,635 300910ms QuoteServices          SaveToDatabase     - try to save to database
DEBUG 2018-11-02 11:55:09,790 301065ms QuoteServices          SaveToDatabase     - DPO.Common.Message
INFO  2018-11-02 11:55:09,815 301090ms QuoteServices          SaveToDatabase     - SaveToDatabase finished for Model: DPO.Common.QuoteModel
DEBUG 2018-11-02 11:55:47,213 338488ms BaseController         FormPdfForSendMail - root directory: C:\dttp-Projects\Staging\Daikin Project Office\DPO.Web\DPO.Web\
DEBUG 2018-11-02 11:55:53,398 344673ms BaseController         ndEmailOrderSubmit - sendEmailModel.OtherAttachmentFiles: System.Collections.Generic.List`1[System.String]
ERROR 2018-11-02 11:56:06,936 358211ms EmailServices          dCompletedCallback - Send Order submit email failed. Mailbox unavailable. The server response was: 5.7.1 Unable to relay
